val loss: 2.852879524230957 Epoch 10 - Top-1 Accuracy: 0.295, Top-5 Accuracy: 0.605
val loss: 2.4713516235351562 Epoch 11 - Top-1 Accuracy: 0.33, Top-5 Accuracy: 0.68
val loss: 2.2245571613311768 Epoch 12 - Top-1 Accuracy: 0.43, Top-5 Accuracy: 0.7
val loss: 2.0764737129211426 Epoch 13 - Top-1 Accuracy: 0.435, Top-5 Accuracy: 0.745
val loss: 1.9592355489730835 Epoch 14 - Top-1 Accuracy: 0.505, Top-5 Accuracy: 0.745
val loss: 1.9241268634796143 Epoch 15 - Top-1 Accuracy: 0.52, Top-5 Accuracy: 0.765
val loss: 1.831623911857605 Epoch 16 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.795
val loss: 1.797814130783081 Epoch 17 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.795
val loss: 1.7575397491455078 Epoch 18 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.805
val loss: 1.7395775318145752 Epoch 19 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.8
val loss: 1.7201124429702759 Epoch 20 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.82
val loss: 1.6894086599349976 Epoch 21 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.835
val loss: 1.7077981233596802 Epoch 22 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.805
val loss: 1.6960784196853638 Epoch 23 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6992661952972412 Epoch 24 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6955761909484863 Epoch 25 - Top-1 Accuracy: 0.54, Top-5 Accuracy: 0.82
val loss: 1.7082386016845703 Epoch 26 - Top-1 Accuracy: 0.535, Top-5 Accuracy: 0.8
val loss: 1.7072798013687134 Epoch 27 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.82
val loss: 1.698708176612854 Epoch 28 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.82
val loss: 1.6735042333602905 Epoch 29 - Top-1 Accuracy: 0.565, Top-5 Accuracy: 0.815
val loss: 1.6731224060058594 Epoch 30 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.83
val loss: 1.6719059944152832 Epoch 31 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.815
val loss: 1.6809413433074951 Epoch 32 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.82
val loss: 1.6768288612365723 Epoch 33 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.678586721420288 Epoch 34 - Top-1 Accuracy: 0.57, Top-5 Accuracy: 0.82
val loss: 1.682474136352539 Epoch 35 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.815
val loss: 1.6626372337341309 Epoch 36 - Top-1 Accuracy: 0.57, Top-5 Accuracy: 0.825
val loss: 1.6741269826889038 Epoch 37 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6739139556884766 Epoch 38 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6756917238235474 Epoch 39 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.805
val loss: 1.6733043193817139 Epoch 40 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.673323154449463 Epoch 41 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.815
val loss: 6.8343706130981445 Epoch 0 - Top-1 Accuracy: 0.0, Top-5 Accuracy: 0.03
val loss: 6.084616661071777 Epoch 0 - Top-1 Accuracy: 0.0, Top-5 Accuracy: 0.03
val loss: 5.672513961791992 Epoch 1 - Top-1 Accuracy: 0.0, Top-5 Accuracy: 0.05
val loss: 5.272760391235352 Epoch 2 - Top-1 Accuracy: 0.025, Top-5 Accuracy: 0.075
val loss: 4.964346885681152 Epoch 3 - Top-1 Accuracy: 0.025, Top-5 Accuracy: 0.095
val loss: 4.713939189910889 Epoch 4 - Top-1 Accuracy: 0.04, Top-5 Accuracy: 0.14
val loss: 4.492622375488281 Epoch 5 - Top-1 Accuracy: 0.065, Top-5 Accuracy: 0.195
val loss: 4.238425254821777 Epoch 6 - Top-1 Accuracy: 0.095, Top-5 Accuracy: 0.28
val loss: 3.917876958847046 Epoch 7 - Top-1 Accuracy: 0.14, Top-5 Accuracy: 0.38
val loss: 3.526486396789551 Epoch 8 - Top-1 Accuracy: 0.195, Top-5 Accuracy: 0.48
val loss: 3.1138901710510254 Epoch 9 - Top-1 Accuracy: 0.24, Top-5 Accuracy: 0.525
val loss: 2.7463274002075195 Epoch 10 - Top-1 Accuracy: 0.295, Top-5 Accuracy: 0.6
val loss: 2.4992761611938477 Epoch 11 - Top-1 Accuracy: 0.325, Top-5 Accuracy: 0.655
val loss: 2.3763487339019775 Epoch 12 - Top-1 Accuracy: 0.31, Top-5 Accuracy: 0.68
val loss: 2.2379255294799805 Epoch 13 - Top-1 Accuracy: 0.345, Top-5 Accuracy: 0.71
val loss: 2.163496494293213 Epoch 14 - Top-1 Accuracy: 0.36, Top-5 Accuracy: 0.74
val loss: 2.084559679031372 Epoch 15 - Top-1 Accuracy: 0.395, Top-5 Accuracy: 0.76
val loss: 2.0334928035736084 Epoch 16 - Top-1 Accuracy: 0.4, Top-5 Accuracy: 0.78
val loss: 1.9891459941864014 Epoch 17 - Top-1 Accuracy: 0.41, Top-5 Accuracy: 0.8
val loss: 1.964843988418579 Epoch 18 - Top-1 Accuracy: 0.42, Top-5 Accuracy: 0.795
val loss: 1.9361870288848877 Epoch 19 - Top-1 Accuracy: 0.43, Top-5 Accuracy: 0.805
val loss: 1.8763010501861572 Epoch 20 - Top-1 Accuracy: 0.45, Top-5 Accuracy: 0.82
val loss: 1.862941026687622 Epoch 21 - Top-1 Accuracy: 0.465, Top-5 Accuracy: 0.825
val loss: 1.875838041305542 Epoch 22 - Top-1 Accuracy: 0.445, Top-5 Accuracy: 0.815
val loss: 1.8808584213256836 Epoch 23 - Top-1 Accuracy: 0.44, Top-5 Accuracy: 0.83
val loss: 1.8465887308120728 Epoch 24 - Top-1 Accuracy: 0.445, Top-5 Accuracy: 0.825
val loss: 1.8294870853424072 Epoch 25 - Top-1 Accuracy: 0.465, Top-5 Accuracy: 0.845
val loss: 1.8456532955169678 Epoch 26 - Top-1 Accuracy: 0.455, Top-5 Accuracy: 0.825
val loss: 1.810995101928711 Epoch 27 - Top-1 Accuracy: 0.475, Top-5 Accuracy: 0.83
val loss: 1.8203308582305908 Epoch 28 - Top-1 Accuracy: 0.475, Top-5 Accuracy: 0.845
val loss: 1.8003287315368652 Epoch 29 - Top-1 Accuracy: 0.455, Top-5 Accuracy: 0.84
val loss: 1.8031935691833496 Epoch 30 - Top-1 Accuracy: 0.48, Top-5 Accuracy: 0.84
val loss: 1.7883740663528442 Epoch 31 - Top-1 Accuracy: 0.485, Top-5 Accuracy: 0.835
val loss: 1.791670799255371 Epoch 32 - Top-1 Accuracy: 0.495, Top-5 Accuracy: 0.835
val loss: 1.799620270729065 Epoch 33 - Top-1 Accuracy: 0.48, Top-5 Accuracy: 0.83
val loss: 1.7869293689727783 Epoch 34 - Top-1 Accuracy: 0.475, Top-5 Accuracy: 0.84
